SAP,Model
A18110000362,SARIMAX
A18110001067,XGBoost_Tuned
A18110002547,XGBoost_Tuned
A18110008772,XGBoost_Tuned
A18110008863,XGBoost_Tuned
A18110009021,SARIMAX
A18110009031,XGBoost_Tuned
A18110009037,Prophet
A18110010465,XGBoost_Tuned
A18130005688,XGBoost_Tuned
A18130006673,XGBoost_Tuned
A18130006711,XGBoost_Tuned
A18130006764,XGBoost_Tuned
A18130007380,SARIMAX
A18130007393,Prophet
A18130007396,XGBoost_Tuned
A18130007399,XGBoost_Tuned
A18130007768,SARIMAX
A18130007812,XGBoost_Tuned
A18130007814,SARIMAX
A22020000062,SARIMAX
