SAP,month_year,Consumo Total,temporada_pesca,pico_pre_temporada,mes,anio,consumo_lag_1,consumo_lag_3,consumo_lag_12,consumo_rolling_mean_3,consumo_rolling_std_3
A18110000362,2022-06-01,1.0,1,0,6,2022,0.0,0.0,0.0,0.0,0.0
A18110000362,2022-07-01,1.0,0,0,7,2022,1.0,0.0,0.0,1.0,0.0
A18110000362,2022-08-01,1.0,0,0,8,2022,1.0,0.0,0.0,1.0,0.0
A18110000362,2022-09-01,2.0,0,1,9,2022,1.0,1.0,0.0,1.0,0.0
A18110000362,2022-10-01,1.0,0,1,10,2022,2.0,1.0,0.0,1.3333333333333333,0.5773502691896258
A18110000362,2023-01-01,1.0,0,0,1,2023,1.0,1.0,0.0,1.3333333333333333,0.5773502691896258
A18110000362,2023-03-01,3.0,0,1,3,2023,1.0,2.0,0.0,1.3333333333333333,0.5773502691896258
A18110000362,2024-01-01,1.0,0,0,1,2024,3.0,1.0,0.0,1.6666666666666667,1.1547005383792517
A18110000362,2024-05-01,1.0,1,0,5,2024,1.0,1.0,0.0,1.6666666666666667,1.1547005383792517
A18110000362,2024-08-01,1.0,0,0,8,2024,1.0,3.0,0.0,1.6666666666666667,1.1547005383792517
A18110000362,2024-09-01,2.0,0,1,9,2024,1.0,1.0,0.0,1.0,0.0
A18110000362,2024-11-01,1.0,1,0,11,2024,2.0,1.0,0.0,1.3333333333333333,0.5773502691896258
A18110000362,2025-05-01,2.0,1,0,5,2025,1.0,1.0,1.0,1.3333333333333333,0.5773502691896258
A18110000362,2025-08-01,1.0,0,0,8,2025,2.0,2.0,1.0,1.6666666666666667,0.5773502691896258
A18110000362,2025-09-01,1.0,0,1,9,2025,1.0,1.0,1.0,1.3333333333333333,0.5773502691896258
A18110001067,2024-03-01,12.0,0,1,3,2024,0.0,0.0,0.0,1.5,0.7071067811865477
A18110001067,2024-04-01,3.0,1,0,4,2024,12.0,0.0,0.0,6.5,7.7781745930520225
A18110001067,2024-05-01,1.0,1,0,5,2024,3.0,0.0,0.0,7.5,6.363961030678928
A18110001067,2024-06-01,3.0,1,0,6,2024,1.0,12.0,0.0,5.333333333333333,5.8594652770823155
A18110001067,2024-09-01,2.0,0,1,9,2024,3.0,3.0,0.0,2.3333333333333335,1.1547005383792543
A18110001067,2024-10-01,3.0,0,1,10,2024,2.0,1.0,0.0,2.0,1.0000000000000036
A18110001067,2025-01-01,1.0,0,0,1,2025,3.0,3.0,0.0,2.6666666666666665,0.577350269189631
A18110001067,2025-02-01,1.0,0,1,2,2025,1.0,2.0,0.0,2.0,1.0000000000000036
A18110001067,2025-03-01,2.0,0,1,3,2025,1.0,3.0,0.0,1.6666666666666667,1.1547005383792548
A18110001067,2025-04-01,6.0,1,0,4,2025,2.0,1.0,0.0,1.3333333333333333,0.577350269189633
A18110001067,2025-06-01,1.0,1,0,6,2025,6.0,1.0,0.0,3.0,2.6457513110645916
A18110001067,2025-09-01,4.0,0,1,9,2025,1.0,2.0,0.0,3.0,2.6457513110645916
A18110001067,2025-10-01,2.0,0,1,10,2025,4.0,6.0,12.0,3.6666666666666665,2.516611478423584
A18110002547,2022-06-01,2.0,1,0,6,2022,0.0,0.0,0.0,2.5,2.121320343559645
A18110002547,2022-07-01,1.0,0,0,7,2022,2.0,0.0,0.0,3.0,1.4142135623730983
