,prediccion,limite_inferior,limite_superior
2025-11-30,114.68892756040006,-595.4406281395724,824.8184832603725
2025-12-31,124.34559085487238,-607.5725745394988,856.2637562492436
2026-01-31,99.60667267902026,-651.1277556598948,850.3411010179352
2026-02-28,108.7797050568869,-660.9471206837501,878.5065307975239
2026-03-31,123.4452029897651,-662.9940981358749,909.8845041154051
2026-04-30,123.67076118466862,-678.5005048741701,925.8420272435075
2026-05-31,116.90722608242497,-745.3190520614305,979.1335042262804
2026-06-30,119.09905256454054,-767.169803873487,1005.3679090025681
2026-07-31,113.60764141458817,-795.1104179919503,1022.3257008211267
2026-08-31,115.27626351211869,-815.6426998294188,1046.195226853656
2026-09-30,118.51946496624369,-833.3040671887211,1070.3429971212086
2026-10-31,118.66031265823045,-853.313569467198,1090.634194783659
